BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE,ABBREVIATION
HDFC Bank,HDFC0CTNNCB,380302003,The Naroda Nagrik Co-Op. Bank Ltd,"Naroda Bank Bhuvan, A-1/2, Dharamsut Coop Hsg Soc., Gurukul Rd., Memnagar, Ahmedabad - 380052",27483206.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CTNCBL,380139009,The Navnirman Co-Operative Bank Ltd,"Navnirman Bank Bhavan, Shrimali Society, Rasala Marg, Navrangpura, Ahmedabad - 380009",26562637.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CTMCNB,392802001,Mahila CO OP Nagarik Bank Ltd,"Khet Bhavan, Opp Unnati Apt., Sevashram Road, Bharuch",244430.0,Bharuch,Bharuch,Gujarat,HDFC
HDFC Bank,HDFC0CTMCBL,590802002,The Mahaveer Co-Op. Bank Ltd,"1157, Shree Renuka Towers, Anantshayan Galli, Belgaum - 590002",2407121.0,Belgaum,Belgaum,Karnataka,HDFC
HDFC Bank,HDFC0CTLCBL,413612003,The Laxmi CO OP Bank Ltd Solapur,269A Sakhar Peth Solapur,2747363.0,Solapur,Solapur,Maharashtra,HDFC
HDFC Bank,HDFC0CTGNSB,382810501,The Gozaria Nagarik Sahakari Bank,"Main Bazar, AT Post Office Gozariya, Mehsana, Gujarat - 382825",263346.0,Gojaria,Mahesana,Gujarat,HDFC
HDFC Bank,HDFC0CTGCUB,505846102,The Gayatri Co-Op Urban Bank Ltd,"7-1-72, 73, 74, Gayatri Towers, Tahasil Chowrasta, Jagtial",9885457766.0,Jagtial,Karimnagar,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CTGB17,,The Gayatri CO OP Urban Bank Ltd,Main Road Nirmal Adilabad TS - 504106,7382226677.0,Nirmal,Adilabad,Telangana,HDFC
HDFC Bank,HDFC0CTGB15,505846005,The Gayatri CO OP Urban Bank Ltd,105 Mamidipally Road Armoor Nizamabad - 503224,7382226677.0,Armoor,Nizamabad,Telangana,HDFC
HDFC Bank,HDFC0CTGB07,,The Gayatri Co-Op Urban Bank Ltd,"#1-4-303, 1-4-303/1 Situated AT Gunj Road, Metpelly, Karimnagar. A.P - 505325",9246946677.0,Metpalle,Karimnagar,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CTGB06,503846002,The Gayatri Co-Op Urban Bank Ltd,"7-2-60, Marwadi Galli, Near Goshala Complex, Nizamabad, Nizamabad. A.P - 503001",9248978111.0,Nizamabad,Nizamabad,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CTGB05,504846202,The Gayatri Co-Op Urban Bank Ltd,"#5-495, 496, Gayatri Towers, Iqbal Ahmmad Ngr, New Mro Office-Opp Strt, Vill&Mdl:Mancherial:Adilabad.A.P",9248945222.0,Mancheriyal,Adilabad,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CTGB04,505846002,The Gayatri Co-Op Urban Bank Ltd,"#7-4-412, First Floor, Near Geeta Bhavan Chowrasta, Mankamma Thota, Karimnagar Karimnagar.A.P - 505001",9246946677.0,Karimnagar,Karimnagar,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CTGB03,,The Gayatri Co-Op Urban Bank Ltd,"H.No 9-8-54, First Floor, Ombedkar Chowrasta, Vill Mdl Vemulawada, Karimnagar - 505302",9299991667.0,Vemulawada,Karimnagar,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CTGB02,,The Gayatri Co-Op Urban Bank Ltd,"No 1-2-301, 1St Flr, G.L.R. Complex Nizamabad RD Korutla Mdl Korutla Karimnagar, A.P - 505326",9299992217.0,Koratla,Karimnagar,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CTGB01,,The Gayatri Co-Op Urban Bank Ltd,"House No 8-1-94/1, First Flr, R.R.D.Complex, Veenavanka Rd, Vill Mdl Jammikunta, Karimnagar - 505122",9393894599.0,Jammikunta,Karimnagar,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CTCUBL,388811501,Tarapur Cooperative Urban Bank Ltd,Urban Bank Building Tarapur Anand Gujarat - 388180,255013.0,Tarapur,Anand,Gujarat,HDFC
HDFC Bank,HDFC0CTCHNB,385809501,The Chhapi Nagarik Sahakari Bank,"AT Post Office Chhapi, TA. Vadgam, Banaskantha, Gujarat",270488.0,Chhapi,Banas Kantha,Gujarat,HDFC
HDFC Bank,HDFC0CTBNSB,380421004,The Bavla Nagrik Sahakari Bank Ltd,"Bavla, Ahmedabad - 382220",232819.0,Bavla,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CTBCBL,380134001,The Bhagyodaya CO. OP. Bank Ltd,"Nava Madhupura, NR Delhi Darwaja, Ahmedabad - 380004",9925121810.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CTANSB,444894002,The Agrasen Nagari Sah Bank Ltd,"1St Floor Bhirad, Complex M.G. Road, Akola",2442131.0,Akola,Akola,Maharashtra,HDFC
HDFC Bank,HDFC0CSVSBL,380256002,Sardar Vallabhbhai Sahakari Bankltd,"Hariom Tower, Panchwati Road, Law Garden, Ahmedabad - 380006",26404576.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CSVCBL,416407002,Shri Veershaiv Coop Bank Ltd. Kolh,"517, A/1, Tararani Chowk Kolhapur - 416001",2536940.0,Kolhapur,Kolhapur,Maharashtra,HDFC
HDFC Bank,HDFC0CSUDHA,560226276,Sri Sudha Co-Operative Bank Limited,"No 195/33, Sri Sudha Rajatha Bhavana, R.V.Road, Jayanagar, Bankgalore - 560004",26560195.0,Bangalore,Bangalore Urban,Karnataka,HDFC
HDFC Bank,HDFC0CSUCUB,508848202,Sudha Co.Op Urban Bank Ltd.Suryapet,"H.No 1-6-65, Near Vanijya Bhawan, Suryapet, Nalgonda (D.T)",222111.0,Suryapet,Nalgonda,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CSTUCB,302426002,Sterling Urban Co-Op Bank Ltd,"O-11, 105 Shyam Anukampa, C-Scheme, Jaipur - 01",2370195.0,Jaipur,Jaipur,Rajasthan,HDFC
HDFC Bank,HDFC0CSSSSN,414852501,Shri Sawami Samarath Sah Bank Ltd,AP Nighoj Tal Parner Ahmednagar,9921336579.0,Nighoj,Ahmadnagar,Maharashtra,HDFC
HDFC Bank,HDFC0CSSSBN,560240252,Shushruti Souahrda Sahakra Bank,"#68, Shushruti Nagar, Andrahalli Main Road, Peenya 2nd Stage Bangalore - 560091",28362001.0,Peenya,Bangalore Urban,Karnataka,HDFC
HDFC Bank,HDFC0CSSMSB,591888402,Ssms Urbancoop Bank Ltd Athani,1212 Budhwar Peth Athani - 591304,252813.0,Athani,Belgaum,Karnataka,HDFC
