Bank of Baroda,BARB0NABAGR,,Nabagram,Amiyo Niketan Naity Road Bagan Para Kanaipur DT Hooghly West Bengal - 712246,1800223344.0,Uttarpara Kotrung,Hugli,West Bengal,
Bank of Baroda,BARB0MAYABA,224012503,"Maya Bazar, UP","Maya Bazar, Faizabad, Uttar Pradesh - 224161",1800223344.0,Maya Bazar,Faizabad,Uttar Pradesh,
Bank of Baroda,BARB0MASABT,500012011,Masabtank-Hyderabad,"6-3-2, Rd.No 1, Banjarahills, Hyderabad",1800223344.0,Hyderabad,Hyderabad Urban,Andhra Pradesh,
Bank of Baroda,BARB0MANDAB,,Mandi Dabwali,Chaudhary Complex Chautala Road Mandi Dabwali Sirsa Haryana - 125104,1800223344.0,Mandi Dabwali,Sirsa,Haryana,
Bank of Baroda,BARB0MAMABH,211012023,Mama Bhanja KA Talab,"Vill Mama Bhanja KA Talab, Post Office Naini, Allahabad Uttar Pradesh - 211008",1800223344.0,Allahabad,Allahabad,Uttar Pradesh,
Bank of Baroda,BARB0MAHABU,,Mahabubnagar,"No BY B, Station Road, Mahabubnagar, Andhra Pradesh - 509001",1800223344.0,Mahbubnagar,Mahbubnagar,Andhra Pradesh,
Bank of Baroda,BARB0MADABS,,Madanpura Varanasi,Madanpura Varanasi - 221001,,Varanasi,Varanasi,Uttar Pradesh,
Bank of Baroda,BARB0LUXABS,221012012,Luxa Road Branch,"Luxa Road Branch, D.52/1, Luxa Road Varanasi, Varanasi - 221001",1800223344.0,Varanasi,Varanasi,Uttar Pradesh,
Bank of Baroda,BARB0LABANX,323012510,"Laban, Rajasthan","Laban, Bundi, Rajasthan - 323603",1800223344.0,Laban,Bundi,Rajasthan,
Bank of Baroda,BARB0KUNJAB,752012506,"Kunjabangarh, Daspalla, Orissa","1St Floor, J.B. Complex, Kunjaban Garh, Nayagarh, Daspalla, Orissa - 752054",1800223344.0,Daspalla,Daspalla,Odisha,
Bank of Baroda,BARB0KOTABA,263012352,"Kotabag BR, Nainital, Uttarakhand","Kotabagh, Nainital, Uttarakhand - 263159",1800223344.0,Kotabagh,Nainital,Uttarakhand,
Bank of Baroda,BARB0KOPABS,272012151,"Kopaganj, UP","Kopaganj, Mau, Uttar Pradesh - 275305",1800223344.0,Kopaganj,Kopaganj,Uttar Pradesh,
Bank of Baroda,BARB0KHABHI,,"Khairabad, Bhilwara, Raj","Shri Balaji Industries, Swaroopganj Choraha, National Highway, Bhilwara, Rajasthan - 311025",1800223344.0,Bhilwara,Bhilwara,Rajasthan,
Bank of Baroda,BARB0KANTAB,,"Kantabanji, Orissa","1St Floor, Radhey Rukmani Complex, Near Annapurna Hotel, Kantabanji, Bolangir, Orissa - 767039",1800223344.0,Kantabanji,Balangir,Odisha,
Bank of Baroda,BARB0KAMABU,203012052,"Kamalpur BR., Bulandshahr, U.P","Kamalpur, Bulandshahr, Uttar Pradesh - 233339",1800223344.0,Kamalpur,Bulandshahr,Uttar Pradesh,
Bank of Baroda,BARB0KALIAB,364012005,"Kaliabid, Gujarat","Plot No CM 450 B, Virani Circle, Sardar Patel School Road, Kaliabid, Post Office Bhavnagar, Bhavnagar, Gujarat - 364002",1800223344.0,Bhavnagar,Bhavnagar,Gujarat,
Bank of Baroda,BARB0KABIRG,262012053,"Kabir Ganj, UP","Kabir Ganj, Pilibhit, Uttar Pradesh - 262904",1800223344.0,Kabirganj,Pilibhit,Uttar Pradesh,
Bank of Baroda,BARB0KABILP,396012069,"Kabilpore, Navsari","Kabilpore (I.E.), 35 Gidc, Via:Navsari Gujarat - 396424",1800223344.0,Kabilpore,Navsari,Gujarat,
Bank of Baroda,BARB0KABARI,208012009,"Kabari Market, Kanpur",122/707 Paras Bhawan Kabri Market Shastri Nagar Kanpur - 208005,1800223344.0,Kanpur,Kanpur Nagar,Uttar Pradesh,
Bank of Baroda,BARB0JORABA,,Jorabagan,43 Neemtala Ghat Street Kolkata Kolkata DT West Bengal - 700006,1800223344.0,Kolkata,Kolkata,West Bengal,
Bank of Baroda,BARB0JHABUA,457012051,Jhabua Main Branch,"Jhabua Main Branch, College Road Jhabua, Jhabua - 457661",1800223344.0,Jhabua,Jhabua,Madhya Pradesh,
Bank of Baroda,BARB0JHABHA,,Jhagadia Gidc,Shivam Enterprise Gidc Near Police Station Dadheda Bharuch Gujarat - 393110,1800223344.0,Dayadra,Bharuch,Gujarat,
Bank of Baroda,BARB0JAFRAB,,"Jafrabad, Up","Bank of Baroda, Vpo Jafrabad, Bindki, Jafrabad, Fatehpur, Uttar Pradesh - 212635",1800223344.0,Bindki,Fatehpur,Uttar Pradesh,
Bank of Baroda,BARB0JABUGA,,"Jabugam, Vadodara, Gujarat","Jabugam, Jetpur, Vadodara, Gujarat - 391155",1800223344.0,Pavi Jetpur,Vadodara,Gujarat,
